4a Site1,4a Site2,4b Site1,4b Site2,4b Site3,4e Site1,4e Site2,4a Site3,4g Site1,4g Site2,4g Site3,5g Site2,5g Site3
-100.289897,18.961304,-4.549126,-28.011756,-20.387656,-56.895145,3.004469,-16.718528,-35.101691,-36.691758,-14.839271,-2.101288,-40.686404
-45.101451,35.42219,4.296025,-54.459018,-16.985969,6.634162,57.440782,-36.26347,2.205731,29.036588,15.326353,11.845557,-28.747398
-88.477083,13.759469,16.862406,-44.143061,-93.542449,-7.926196,98.732095,-37.07846,9.795415,15.497955,32.163903,60.304719,-32.539372
-30.552804,6.939604,22.811355,-81.051353,-19.467506,14.533351,-21.211967,8.69243,25.614347,60.907477,40.669435,22.938025,-15.258716
23.38854,-18.215624,-14.914317,-9.037546,-142.270486,0.700509,-47.813862,4.205922,4.583542,-26.500081,-21.485383,32.894765,-75.749138
1.7686,11.42181,-106.738356,16.206351,-31.03415,-16.153771,53.066126,-34.838552,-54.817279,-9.898902,-34.903799,-13.802967,-110.859433
-10.796825,-27.702251,3.051552,-42.149562,-30.374271,47.635807,17.958938,-37.443174,-69.686664,62.432297,-65.964717,6.883917,-78.751456
-25.147102,-46.71494,14.307496,44.486026,-161.565434,25.382278,21.012163,42.109171,5.009918,15.753924,-4.603857,-55.598331,52.961683
31.458375,-57.868114,6.685308,-15.638009,8.370736,5.806266,-17.535669,-17.962762,31.54322,-14.514709,-15.46569,-75.304598,-11.366123
-36.137995,-23.435145,-63.718595,3.535766,-35.705644,-50.68712,165.72499,-53.229602,-7.326067,65.199917,-43.477446,52.396209,-44.172936
-3.72601,105.792872,-2.642623,-36.85619,1.73992,-61.72653,77.264876,21.658658,-50.369967,25.89326,9.402977,-6.827274,-65.37367
